@relation spy_mahalanobis_state_3_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

32.104611,-96.737437,-0.150145,-103.296597,-0.9409,8.090466,12.343262,70.88516,71.19852,71.01766,71.051443,71.229083,22.299617,71.955885,70.441155,-1.313763,90,10,1
32.436804,-90.668896,-0.1692,-91.556878,-1.0127,7.698999,7.68371,70.74322,71.09725,70.924438,70.984963,71.100973,23.683159,71.830557,70.363943,-1.412442,100,0,1
33.870323,-87.332776,-0.179656,-71.844854,-0.917,19.575005,11.788157,70.73046,71.00555,70.855429,70.93637,70.980837,24.132523,71.673522,70.337578,-1.280106,100,0,0
28.782321,-92.525587,-0.204882,-95.801184,-0.8372,24.586365,17.28679,70.65232,70.92183,70.759602,70.853121,70.876117,25.50612,71.622391,70.221269,-1.173935,100,20,1
39.259639,-70.266423,-0.202592,-71.818455,-0.6618,45.258942,29.80677,70.6571,70.85565,70.723942,70.829953,70.787077,27.141756,71.489617,70.221683,-0.927053,100,10,0
39.259639,-66.863101,-0.198488,-47.480244,-0.7973,58.063376,42.636228,70.66668,70.77592,70.700315,70.810998,70.72249,28.521998,71.228798,70.323042,-1.114746,90,0,1
63.323595,-6.179102,-0.121775,254.529286,0.2232,82.961748,62.094688,70.85326,70.79824,70.853547,70.957853,70.717173,28.004519,71.375878,70.220602,0.312625,80,100,1
67.421882,-3.397053,-0.039927,194.818013,1.0924,90.04677,77.023965,71.0845,70.90748,71.049122,71.124407,70.774053,28.368097,71.772719,70.042241,1.543341,70,100,1
67.919757,-2.399759,0.027199,132.574829,1.0366,96.008028,89.672182,71.36996,71.01114,71.230635,71.266478,70.880637,28.753335,72.061724,69.960556,1.462695,60,100,0
65.419453,-9.770182,0.073753,97.735316,1.1322,94.363043,93.472614,71.59162,71.12436,71.380245,71.369664,71.037187,29.317548,72.257945,69.990775,1.601374,50,100,1
68.431733,-1.374907,0.122749,82.80041,1.3237,94.45468,94.941917,71.84678,71.25673,71.539725,71.484543,71.235467,29.923848,72.457942,70.055518,1.872865,40,100,1
71.808657,-2.821745,0.176273,87.885551,1.523,92.573325,93.797016,71.9648,71.40903,71.712829,71.616226,71.45182,31.394121,72.666933,70.151127,2.154605,30,100,0
67.486516,-8.470291,0.207289,73.585919,1.3794,84.799119,90.609041,72.00944,71.54697,71.837933,71.703658,71.644517,32.717368,72.773515,70.320425,1.950572,20,90,0
