@relation spy_train_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

71.124348,-23.699422,0.097465,100.813008,0.091,83.080808,79.96633,105.3218,105.2995,105.309218,105.295902,105.293133,40.176405,105.367331,105.231669,0.086456,0,10,0
59.037696,-43.939394,0.090301,25.853869,-0.041,64.393939,76.094276,105.3202,105.2954,105.307309,105.294647,105.3003,38.393451,105.360252,105.230548,-0.038925,40,0,1
61.065703,-31.818182,0.084936,-20.313199,0.041,56.565657,68.013468,105.3136,105.2995,105.309055,105.29653,105.307467,35.307316,105.36099,105.23801,0.03895,30,90,0
56.410944,-50,0.07785,-30.049751,0.017,34.343434,51.767677,105.3088,105.3012,105.305691,105.293706,105.311367,32.529794,105.359529,105.242871,0.01615,20,80,1
59.814455,-31.818182,0.073325,-26.99936,0.066,49.494949,46.801347,105.3054,105.3078,105.306382,105.295759,105.313333,30.030024,105.348864,105.266736,0.062714,10,70,0
56.544041,-58.585859,0.067669,-44.403893,0,44.107744,42.648709,105.2938,105.3078,105.302964,105.29453,105.3106,28.509091,105.348864,105.266736,0,0,60,0
53.115536,-75.757576,0.061109,-110.298336,-0.025,43.807444,45.803379,105.2904,105.3053,105.296455,105.290434,105.305367,26.21562,105.351422,105.259178,-0.023742,60,50,0
46.972488,-65.454545,0.052641,-220.083975,-0.099,38.186953,42.034047,105.2772,105.2954,105.2844,105.281082,105.2982,26.219431,105.350769,105.240031,-0.093983,100,40,0
46.972488,-65.454545,0.045407,-135.347432,-0.066,37.953668,39.982688,105.2688,105.2888,105.274145,105.273431,105.290733,26.222862,105.353042,105.224558,-0.062675,90,30,0
