@relation spy_mahalanobis_state_2_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

50.084438,-45.312808,0.025646,-61.117202,0.1583,41.445852,57.097502,54.6568,54.61088,54.629738,54.635806,54.633053,16.692269,54.783745,54.438015,0.290839,30,60,1
52.945795,-34.379317,0.021677,-5.113372,0.0475,36.341883,43.394729,54.64412,54.61563,54.635487,54.637023,54.646247,15.679033,54.789098,54.442162,0.087004,20,50,0
49.354013,-46.871916,0.013271,-25.462561,0.1108,50.383487,42.723741,54.61878,54.62671,54.628864,54.62651,54.65152,14.76712,54.773203,54.480217,0.203421,10,40,1
61.919328,-6.457527,0.028639,141.490922,0.3721,66.470572,51.065314,54.64412,54.66392,54.670607,54.66829,54.6531,14.950804,54.83387,54.49397,0.68295,0,100,1
63.083531,-4.605519,0.042881,174.54875,0.2692,78.011179,64.955079,54.71062,54.69084,54.711349,54.708237,54.657583,15.326029,54.903571,54.478109,0.492871,60,100,1
63.698153,-13.517665,0.054812,142.003544,0.2454,90.934441,78.472064,54.77396,54.71538,54.750069,54.743794,54.674733,16.294652,54.961481,54.469279,0.44897,50,100,0
52.907375,-43.249701,0.049638,51.036116,0.0237,74.370649,81.105423,54.79138,54.71775,54.752655,54.741213,54.697163,15.878128,54.963896,54.471604,0.043323,40,90,0
52.459572,-44.598054,0.044389,2.720687,0.0158,54.74964,73.351576,54.81988,54.71933,54.753373,54.737665,54.726457,14.801396,54.965355,54.473305,0.028882,30,80,0
38.362123,-97.286226,0.015144,-90.843933,-0.3166,26.794184,51.971491,54.73122,54.68767,54.697676,54.678635,54.745197,15.224318,54.994283,54.381057,-0.57848,20,70,1
40.630409,-83.754342,-0.004789,-120.640887,-0.103,17.592371,33.045398,54.64412,54.67737,54.654918,54.63752,54.745197,16.121362,55.0071,54.34764,-0.188799,100,60,1
42.968288,-77.502368,-0.017193,-91.546574,-0.095,13.865673,19.417409,54.56178,54.66787,54.621233,54.61108,54.72039,16.606874,55.012589,54.323151,-0.174034,90,50,0
41.871833,-81.24408,-0.028606,-76.473624,-0.1741,22.960758,18.139601,54.50954,54.65046,54.584965,54.585138,54.67632,16.706646,55.015531,54.285389,-0.318616,80,40,0
41.479807,-82.491317,-0.037852,-64.038266,-0.1187,26.035816,20.954082,54.4573,54.63859,54.550427,54.562477,54.62064,16.676277,55.019531,54.257649,-0.217482,70,30,0
34.619002,-94.45614,-0.056671,-100.202785,-0.5463,22.338671,23.778415,54.4367,54.58396,54.490684,54.516572,54.556777,18.441943,54.980706,54.187214,-0.995875,100,20,0
27.038284,-93.446527,-0.089084,-161.26435,-0.8076,17.221716,21.865401,54.36228,54.5032,54.399127,54.437268,54.495287,21.614792,54.945661,54.060739,-1.47136,100,10,1
