@relation spy_devset_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

23.301869,-94.811321,-0.157618,-96.149615,-0.422,33.201041,31.873855,104.6248,104.7247,104.671455,104.726539,104.720867,47.783797,104.953334,104.496066,-0.402062,70,10,0
21.99384,-85.050505,-0.16721,-139.299031,-0.43,31.131676,34.400405,104.5934,104.6817,104.631327,104.686077,104.682333,49.599791,104.898122,104.465278,-0.409781,100,0,0
16.765436,-91.596639,-0.185982,-173.664164,-0.454,15.916678,26.749799,104.5388,104.6363,104.569018,104.622972,104.6438,51.942632,104.92023,104.35237,-0.433235,100,0,0
14.633684,-97.415186,-0.20583,-169.893401,-0.545,13.187891,20.078749,104.466,104.5818,104.498418,104.554795,104.599167,54.281672,104.927088,104.236512,-0.520073,100,0,1
24.378255,-82.802548,-0.212413,-115.426056,-0.487,12.259665,13.788078,104.3918,104.5331,104.452818,104.514105,104.5482,56.423241,104.868631,104.197569,-0.464615,100,10,1
32.798907,-66.666667,-0.208609,-59.362524,-0.372,26.244752,17.23077,104.367,104.4959,104.430982,104.495723,104.496967,56.065233,104.791592,104.200208,-0.355013,90,0,1
40.91195,-44.246032,-0.195992,-9.833655,-0.157,55.777333,31.42725,104.367,104.4802,104.432455,104.497228,104.454,53.148504,104.755102,104.205298,-0.150008,80,0,1
41.600636,-42.65873,-0.183235,33.402387,-0.1,74.865485,52.295857,104.4016,104.4702,104.438236,104.499913,104.422033,49.429859,104.732168,104.208232,-0.095591,70,20,1
43.872112,-37.698413,-0.169158,46.137293,-0.075,85.829802,72.15754,104.4594,104.4627,104.450382,104.506656,104.4088,46.083077,104.711987,104.213413,-0.071693,60,10,1
56.328667,-4.960317,-0.143039,118.276014,0,86.490407,82.395232,104.5336,104.4627,104.493891,104.542173,104.420067,42.354577,104.711987,104.213413,0,50,100,1
58.907954,-8.596491,-0.117594,151.306043,0.207,89.620934,87.313715,104.5998,104.4834,104.545036,104.578869,104.454733,39.871505,104.78319,104.18361,0.198016,40,100,0
57.383729,-11.578947,-0.097675,111.960784,0.223,86.986574,87.699305,104.6444,104.5057,104.589327,104.605802,104.500967,37.636741,104.839543,104.171857,0.213389,30,90,0
53.662882,-18.77193,-0.084227,83.902408,0.347,77.355291,84.654267,104.6792,104.5404,104.622109,104.620384,104.553,35.625453,104.869828,104.210972,0.33257,20,80,0
52.106322,-21.754386,-0.074087,56.299799,0.421,67.540984,77.294283,104.7056,104.5825,104.645491,104.629223,104.603667,32.45183,104.854252,104.310748,0.403845,10,70,1
