@relation spy_mahalanobis_state_3_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

45.421383,-27.654065,-0.162738,85.072525,-0.0821,90.44188,78.928441,93.15996,93.14351,93.152931,93.176409,93.10928,40.581051,93.314863,92.972157,-0.08801,60,0,0
43.833015,-32.619048,-0.150387,26.080913,-0.0575,78.801312,85.14025,93.1961,93.13776,93.159202,93.176699,93.120787,38.728804,93.299996,92.975524,-0.061672,50,0,0
38.381021,-56.507937,-0.1462,-17.681799,-0.0492,49.91693,73.053374,93.19282,93.13284,93.1501,93.160517,93.139687,37.458606,93.297842,92.967838,-0.052825,40,80,1
46.453245,-30.449735,-0.133396,15.431428,0.0493,43.047245,57.255162,93.18296,93.13777,93.159802,93.165187,93.158037,36.315428,93.30588,92.96966,0.052933,30,70,1
57.33527,-11.663286,-0.108075,141.865407,0.2547,50.249066,47.737747,93.20268,93.16324,93.199989,93.200389,93.176387,33.929647,93.374792,92.951688,0.273565,20,100,0
55.540535,-20.633694,-0.088976,140.37724,0.3122,69.913038,54.403116,93.22896,93.19446,93.231055,93.2247,93.193913,32.088881,93.40551,92.98341,0.33562,10,100,1
58.870646,-10.52744,-0.068411,99.988885,0.3943,81.221371,67.127825,93.27168,93.23389,93.266898,93.255046,93.212533,28.885804,93.429645,93.038135,0.423991,0,90,0
48.496174,-51.048951,-0.06331,53.720227,0.1397,68.752187,73.295532,93.3029,93.24786,93.2687,93.253001,93.230333,26.234739,93.423474,93.072246,0.150047,0,80,0
40.922467,-87.231287,-0.069736,-68.20245,-0.1314,44.639263,64.87094,93.28648,93.23472,93.242562,93.225928,93.245943,25.004507,93.430565,93.038875,-0.140933,40,70,1
43.235146,-78.736079,-0.071359,-76.097201,-0.1233,21.485889,44.959113,93.2421,93.22239,93.224776,93.209741,93.2558,24.312097,93.425651,93.019129,-0.132211,30,60,1
51.664078,-44.677545,-0.061327,2.943037,0.0657,24.529251,30.218134,93.22896,93.22896,93.233142,93.220406,93.26018,22.153309,93.433494,93.024426,0.070492,20,50,0
45.976381,-70.21497,-0.060635,-32.035076,-0.0082,33.832015,26.615718,93.1846,93.22814,93.222385,93.211205,93.252787,20.210401,93.433548,93.022732,-0.0088,10,40,1
47.582586,-66.648634,-0.057431,-37.25863,0.1068,44.044925,34.135397,93.17474,93.23882,93.216269,93.208168,93.23663,18.461784,93.424022,93.053618,0.114731,0,30,0
26.893429,-89.284938,-0.100151,-300.40213,-0.5669,29.521197,35.799379,93.07778,93.18213,93.103629,93.101101,93.19911,21.696208,93.599094,92.765166,-0.608352,100,20,0
23.776136,-97.545645,-0.144932,-179.100335,-0.8956,21.142585,31.569569,92.94304,93.09257,92.972915,92.985119,93.14187,24.973076,93.672255,92.512885,-0.95931,100,10,1
43.360955,-54.995436,-0.144933,-77.140227,-0.4518,22.149804,24.271195,92.86582,93.04739,92.934684,92.966425,93.079157,24.532623,93.615034,92.479746,-0.484067,90,0,0
38.994096,-71.670555,-0.156397,-54.567731,-0.6737,29.07013,24.12084,92.77544,92.98002,92.874776,92.921238,93.00357,23.882732,93.527832,92.432208,-0.721371,80,10,1
46.47695,-45.373605,-0.147211,-26.02927,-0.3205,60.92477,37.381568,92.7212,92.94797,92.864464,92.921613,92.926337,23.297829,93.46705,92.42889,-0.343723,70,0,1
50.772201,-30.553364,-0.127846,32.437266,-0.0493,72.190325,54.061741,92.8083,92.94304,92.883887,92.945829,92.865263,21.536155,93.457007,92.429073,-0.052951,60,20,1
51.044406,-29.629212,-0.110563,58.518307,-0.0739,86.188197,73.101097,92.92826,92.93565,92.905698,92.967133,92.840343,20.808485,93.440295,92.431005,-0.079346,50,10,0
48.649583,-35.238206,-0.101003,42.285204,-0.2711,72.077587,76.818703,92.95126,92.90854,92.916907,92.972618,92.841713,19.178541,93.36566,92.45142,-0.290667,40,0,1
50.582636,-28.149374,-0.08843,42.860861,-0.1232,64.502219,74.256001,93.017,92.89622,92.942009,92.986069,92.86691,17.469116,93.330585,92.461855,-0.132232,30,0,1
53.498213,-17.823572,-0.071676,72.808271,-0.074,59.500416,65.360074,93.05644,92.88882,92.982787,93.010511,92.913743,16.484983,93.304736,92.472904,-0.079404,20,0,1
56.059111,-9.906001,-0.052492,83.163317,0.5669,66.032591,63.345075,93.08272,92.94551,93.036856,93.042454,92.973997,16.218678,93.353491,92.537529,0.612075,10,60,1
59.75488,-11.30398,-0.028998,137.401407,0.8216,70.794438,65.442481,93.12708,93.02767,93.098545,93.086517,93.027127,17.607138,93.331718,92.723622,0.88857,0,100,0
57.519677,-19.98918,-0.013531,106.289006,0.3615,73.421757,70.082929,93.17638,93.06382,93.137842,93.115114,93.06848,18.856752,93.375989,92.751651,0.389202,0,90,0
56.114633,-24.136001,-0.003229,93.83587,0.5012,67.26902,70.495072,93.21088,93.11394,93.166075,93.134021,93.11175,20.351961,93.335711,92.892169,0.540564,0,80,0
55.121293,-38.324204,0.003571,43.807994,0.2794,55.844367,65.511715,93.22732,93.14188,93.182213,93.146508,93.146803,20.837441,93.328088,92.955672,0.300678,0,70,0
50.174851,-58.921973,0.0023,10.284862,0.0657,34.197488,52.436958,93.21418,93.14845,93.178325,93.141779,93.173093,20.782744,93.326356,92.970544,0.070604,0,60,0
50.174851,-58.921973,0.001278,-21.896892,0.0575,18.476441,36.172765,93.18132,93.1542,93.173244,93.13791,93.189527,20.477481,93.32423,92.98417,0.061786,20,50,0
46.093346,-73.201478,-0.004778,-63.473131,0.0575,5.229257,19.301062,93.14352,93.15995,93.155171,93.122799,93.192267,19.421313,93.311221,93.008679,0.06183,10,40,1
47.282733,-79.602484,-0.00816,-92.292118,0.0246,7.947644,10.551114,93.11394,93.16241,93.139035,93.113418,93.18186,18.470762,93.306875,93.017945,0.026438,0,30,1
51.455306,-76.202899,-0.00613,-61.762107,0.0082,16.959515,10.045472,93.09914,93.16323,93.132905,93.116196,93.163237,18.082348,93.306824,93.019636,0.008806,0,20,1
54.326403,-21.94953,-0.001191,-193.195539,-0.0164,48.356589,24.421249,93.109,93.16159,93.1341,93.125942,93.143517,21.051534,93.30447,93.01871,-0.017599,100,10,0
45.386048,-30.770831,-0.007135,-44.366575,-0.2382,71.931919,45.749341,93.09422,93.13777,93.113193,93.111516,93.123523,23.723801,93.269535,93.006005,-0.255347,90,0,1
49.680381,-24.789348,-0.007125,-25.448108,-0.1397,89.222195,69.836901,93.10408,93.1238,93.107071,93.110168,93.11065,26.128842,93.235773,93.011827,-0.149822,80,10,1
52.069133,-14.820241,-0.004419,29.216789,-0.0822,87.873945,83.009353,93.11722,93.11558,93.109453,93.115028,93.106267,27.905833,93.208872,93.022288,-0.088179,70,0,0
42.523016,-30.553364,-0.013384,-79.256165,-0.2054,85.853619,87.649919,93.09094,93.09504,93.087947,93.093623,93.102433,30.091834,93.192897,92.997183,-0.22038,60,10,1
43.866355,-22.227686,-0.018948,-56.346077,-0.1068,64.866318,79.531294,93.05972,93.08436,93.073158,93.079092,93.095863,32.059234,93.19163,92.97709,-0.11469,50,0,1
49.155821,-14.150479,-0.01785,19.324562,-0.0411,53.119415,67.946451,93.06628,93.08025,93.072256,93.079148,93.088743,33.06681,93.184781,92.975719,-0.044136,40,40,0
48.52176,-15.158594,-0.01744,19.119923,0.0164,45.813703,54.599812,93.0597,93.08189,93.070611,93.077703,93.08299,33.973629,93.185281,92.978499,0.017624,30,30,0
47.836161,-16.166708,-0.017575,43.352028,-0.0082,55.225023,51.386047,93.04492,93.08107,93.067176,93.07503,93.07313,33.94667,93.184916,92.977224,-0.00881,20,20,0
40.239739,-28.288665,-0.025346,-64.948238,-0.1643,39.838007,46.958911,93.03834,93.06464,93.045964,93.054915,93.059983,34.95463,93.183978,92.945302,-0.176423,10,10,0
34.204511,-90.492754,-0.03901,-222.222222,-0.304,25.304091,40.122374,93.00876,93.03424,93.009811,93.02053,93.046287,36.636605,93.182349,92.886131,-0.326286,0,0,0
26.770635,-91.931684,-0.062378,-222.677652,-0.3451,10.030257,25.057452,92.93318,92.99973,92.949313,92.962525,93.025197,39.110457,93.247516,92.751944,-0.370889,100,0,0
22.434573,-91.252092,-0.090466,-180.363378,-0.5341,9.181892,14.838747,92.83294,92.94632,92.87118,92.891157,92.986307,41.952382,93.292004,92.600636,-0.573659,100,10,1
24.147436,-83.135357,-0.110124,-138.12711,-0.5504,11.676014,10.296054,92.73764,92.89128,92.805758,92.835765,92.93263,44.662023,93.271595,92.510965,-0.590958,100,0,0
18.49752,-97.908215,-0.140657,-126.867447,-0.6162,9.801714,10.219873,92.62098,92.82966,92.712998,92.753098,92.861973,47.470124,93.308271,92.351049,-0.6626,100,40,0
