@relation spy_devset_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

28.101895,-84.065934,-0.018865,-160.196078,-0.232,25.072783,28.457222,105.079,105.1477,105.105382,105.120084,105.1505,30.038802,105.324919,104.970481,-0.220501,100,30,0
25.804828,-89.210526,-0.032527,-146.359707,-0.281,17.343821,24.464864,105.0492,105.1196,105.069436,105.089159,105.122633,31.797921,105.322348,104.916852,-0.267032,100,20,1
31.982387,-80.526316,-0.040228,-83.333333,-0.281,21.756994,21.391199,105.0162,105.0915,105.0446,105.069858,105.093667,30.757284,105.284039,104.898961,-0.266948,90,10,1
42.602347,-59.654179,-0.040538,-50.593607,-0.199,34.877207,24.659341,104.9996,105.0716,105.036873,105.066065,105.0658,29.820712,105.234121,104.909079,-0.189077,80,0,0
32.713601,-92.424242,-0.049492,-56.934307,-0.281,33.75576,30.129987,104.9798,105.0435,105.011855,105.042053,105.0385,26.991591,105.193842,104.893158,-0.267072,70,0,0
27.579824,-95.592287,-0.062565,-127.338841,-0.273,25.558158,31.397042,104.9534,105.0162,104.976855,105.007316,105.012867,26.228401,105.194671,104.837729,-0.259693,100,0,0
24.584294,-96.199525,-0.076721,-170.822781,-0.306,6.825375,22.046431,104.922,104.9856,104.936273,104.96835,104.9867,26.467079,105.198418,104.772782,-0.291154,100,10,1
25.970598,-82.55814,-0.08622,-141.301232,-0.346,9.27114,13.884891,104.8858,104.951,104.902891,104.938104,104.959467,27.388944,105.159415,104.742585,-0.32906,100,0,0
24.161161,-80.30303,-0.095312,-137.079942,-0.363,14.088163,10.06156,104.8298,104.9147,104.8698,104.907358,104.9284,28.844741,105.110433,104.718967,-0.34528,100,0,1
31.979927,-69.69697,-0.09744,-73.07833,-0.215,25.474756,16.27802,104.8066,104.8932,104.852218,104.891111,104.896233,29.191103,105.079223,104.707177,-0.204698,90,50,0
30.826853,-73.160173,-0.099273,-63.752556,-0.181,37.314705,25.625875,104.7968,104.8751,104.835636,104.874909,104.865733,29.639307,105.057845,104.692355,-0.172409,80,40,0
25.106265,-92.857143,-0.106838,-94.771716,-0.239,36.088855,32.959439,104.7804,104.8512,104.8058,104.845108,104.8369,30.978564,105.050294,104.652106,-0.227727,70,30,0
22.551384,-93.554687,-0.115535,-124.882482,-0.322,28.165759,33.85644,104.7522,104.819,104.771218,104.811633,104.8086,32.955984,105.026395,104.611605,-0.306716,100,20,0
17.612589,-97.415186,-0.130925,-162.662744,-0.512,11.888703,25.381106,104.7058,104.7678,104.719945,104.7617,104.7786,35.702038,104.97559,104.56001,-0.487392,100,10,1
33.736777,-70.763501,-0.131598,-120.336238,-0.273,21.630549,20.56167,104.6744,104.7405,104.700527,104.743391,104.7527,38.306016,104.9241,104.5569,-0.260164,100,0,0
31.067151,-73.333333,-0.134535,-76.176572,-0.239,28.778351,20.765868,104.6364,104.7166,104.677164,104.719502,104.724333,39.560262,104.898658,104.534542,-0.227943,90,0,1
41.465314,-45.526316,-0.127405,-36.23916,-0.082,57.032319,35.81374,104.6364,104.7084,104.676145,104.717956,104.6976,39.879774,104.883196,104.533604,-0.07825,80,0,0
37.297776,-59.365994,-0.125632,-32.005448,-0.157,63.0269,49.612523,104.6332,104.6927,104.664618,104.704691,104.673067,39.900116,104.859047,104.526353,-0.149806,70,0,0
31.535079,-90.489914,-0.131427,-98.787434,-0.232,55.879098,58.646106,104.6332,104.6695,104.636309,104.674202,104.653233,40.981862,104.850847,104.488153,-0.22144,60,20,0
27.549978,-96.199525,-0.141729,-166.632053,-0.372,27.804704,48.903567,104.5902,104.6323,104.595673,104.632711,104.633967,42.95438,104.828543,104.436057,-0.354901,100,10,1
31.060284,-86.827957,-0.145552,-143.357869,-0.323,12.227909,31.970571,104.5636,104.6,104.5678,104.604763,104.6155,44.729645,104.779497,104.420503,-0.3082,90,0,0
25.285351,-88.789238,-0.158057,-170.942342,-0.372,11.100349,17.044321,104.4892,104.5628,104.520345,104.556443,104.590967,47.342791,104.784168,104.341432,-0.355264,100,0,0
24.111252,-92.731278,-0.168685,-148.422283,-0.355,12.020663,11.782974,104.4214,104.5273,104.473655,104.510908,104.555133,49.78178,104.785145,104.269455,-0.33919,100,0,0
23.204293,-88.492063,-0.177084,-122.216206,-0.256,11.951936,11.690983,104.3702,104.5017,104.428873,104.469106,104.5113,52.242824,104.7985,104.2049,-0.244889,100,40,1
29.128459,-78.571429,-0.177658,-90.761806,-0.33,20.603508,14.858703,104.3472,104.4687,104.397836,104.443996,104.463633,54.457764,104.760658,104.176742,-0.315304,90,30,1
32.040953,-73.611111,-0.174089,-50.591269,-0.256,34.126775,22.227407,104.3226,104.4431,104.377345,104.427997,104.419033,54.380464,104.72503,104.16117,-0.244714,80,20,1
45.242582,-47.420635,-0.158779,10.243056,-0.223,62.029397,38.919894,104.3524,104.4208,104.385509,104.438906,104.383833,51.486086,104.643496,104.198104,-0.212967,70,10,1
46.638663,-38.241758,-0.143698,60.584611,-0.141,80.182671,58.779615,104.392,104.4067,104.400636,104.450742,104.367633,47.902946,104.584072,104.229328,-0.134741,60,0,1
50.978391,-9.065934,-0.126256,112.782369,0.017,94.031851,78.747973,104.4466,104.4084,104.427418,104.469516,104.371833,43.415269,104.590984,104.225816,0.016262,50,0,0
50.251842,-11.263736,-0.11179,95.886856,0.1,88.855083,87.689868,104.4896,104.4184,104.452436,104.483422,104.391733,39.376359,104.618262,104.218538,0.095743,40,90,0
49.372268,-13.736264,-0.0999,91.633657,0.058,84.363387,89.08344,104.5258,104.4242,104.474,104.493164,104.4215,35.530247,104.633885,104.214515,0.055514,30,80,1
59.519343,-3.587444,-0.080193,105.793506,0.314,85.376705,86.198392,104.5588,104.4556,104.5156,104.522225,104.460867,33.757088,104.696557,104.214643,0.300942,20,100,1
62.473123,-6.547619,-0.060568,128.196999,0.388,85.950962,85.230351,104.5968,104.4944,104.558945,104.553457,104.5016,33.12481,104.750954,104.237846,0.371982,10,100,1
65.849644,-8.990826,-0.040514,139.380237,0.463,87.810778,86.379482,104.6348,104.5407,104.604327,104.588101,104.542067,33.492429,104.793583,104.287817,0.443993,0,100,0
57.262545,-26.382979,-0.030323,97.968937,0.338,76.490386,83.417375,104.6594,104.5745,104.627655,104.60281,104.577533,33.823287,104.794442,104.354558,0.323969,0,90,1
59.823907,-20.823799,-0.019361,89.226869,0.346,71.147541,78.482902,104.6924,104.6091,104.650836,104.620844,104.611333,34.37024,104.785144,104.433056,0.331557,0,80,0
