@relation spy_mahalanobis_state_2_ind

@attribute rsi_10 numeric
@attribute willr_10 numeric
@attribute macd_macd numeric
@attribute cci_10 numeric
@attribute mom_10 numeric
@attribute stoch_slowk numeric
@attribute stoch_slowd numeric
@attribute sma_5 numeric
@attribute sma_10 numeric
@attribute wma_10 numeric
@attribute ema_10 numeric
@attribute trima_10 numeric
@attribute adx_10 numeric
@attribute bbands_upperband numeric
@attribute bbands_lowerband numeric
@attribute roc_10 numeric
@attribute aroon_aroondown numeric
@attribute aroon_aroonup numeric
@attribute label numeric

@data

85.471347,-9.8227,0.62097,124.551319,1.8545,89.88521,92.081269,88.25594,87.6329,88.003502,87.796382,87.563763,63.028097,89.117942,86.147858,2.134281,0,100,1
86.507339,-2.808334,0.678861,93.449242,2.2123,92.564267,91.721834,88.52434,87.85413,88.235375,87.998531,87.816177,64.860959,89.373653,86.334607,2.551793,10,90,0
79.570958,-10.676001,0.70221,70.107218,1.7081,81.373991,87.941156,88.73256,88.02494,88.394496,88.131398,88.074283,66.510535,89.515277,86.534603,1.962855,0,80,1
81.718612,-3.284573,0.731319,69.455939,2.1554,81.646069,85.194776,88.82366,88.24048,88.565453,88.282998,88.32534,68.141173,89.581481,86.899479,2.482899,0,100,0
75.907739,-12.392558,0.733458,60.746329,1.5453,65.290695,76.103585,88.83178,88.39501,88.669111,88.378926,88.521087,69.608748,89.600162,87.189858,1.770807,0,90,0
70.352813,-21.268428,0.714451,32.555206,1.399,53.007666,66.648143,88.81388,88.53491,88.716582,88.429321,88.663693,67.891101,89.474822,87.594998,1.603308,0,80,0
69.754428,-22.275623,0.690117,-16.087399,1.0736,37.435759,51.911373,88.7602,88.64227,88.735653,88.46759,88.747737,64.742258,89.325183,87.959357,1.226044,0,70,1
71.246477,-44.706393,0.670327,-36.472519,1.0411,39.787678,43.410368,88.7602,88.74638,88.751476,88.515174,88.787047,62.146576,88.995267,88.497493,1.187275,0,60,0
54.434493,-100,0.606954,-191.233423,-0.2847,31.723695,36.315711,88.61216,88.71791,88.65668,88.462415,88.76698,57.035432,89.098738,88.337082,-0.32166,100,50,1
56.284543,-86.535051,0.556879,-159.874063,-0.4636,23.2581,31.589825,88.51132,88.67155,88.58186,88.434048,88.714923,52.205565,89.122198,88.220902,-0.522249,100,40,0
51.842565,-84.494425,0.498968,-141.914083,-0.5938,12.355683,22.445826,88.41046,88.61217,88.48736,88.382731,88.644703,47.479565,89.155164,88.069176,-0.669104,100,30,1
56.462853,-66.66349,0.462835,-93.60696,-0.5693,27.76877,21.127518,88.35028,88.55524,88.437675,88.374761,88.567437,43.226166,89.081259,88.029221,-0.640323,90,20,1
60.323909,-50.385972,0.442876,-27.446294,-0.2196,45.52104,28.548498,88.30636,88.53328,88.429395,88.399296,88.491797,39.464403,89.046581,88.019979,-0.247494,80,10,0
60.323909,-49.2048,0.422192,1.362698,-0.4555,68.401122,47.23031,88.3633,88.48773,88.425107,88.419369,88.425647,36.307296,88.912911,88.062549,-0.511998,70,0,0
56.219206,-56.521274,0.392089,2.636265,-0.4148,74.35394,62.758701,88.38118,88.44625,88.408393,88.415084,88.38715,32.91436,88.81446,88.07804,-0.467061,60,0,1
58.032708,-37.63384,0.369229,3.709708,-0.1952,75.615034,72.790032,88.443,88.42673,88.411056,88.423414,88.375763,29.73621,88.768089,88.085371,-0.220177,50,0,0
50.739856,-64.507601,0.330894,-59.873483,-0.3822,52.115551,67.361509,88.42674,88.38851,88.380305,88.393266,88.378477,27.949312,88.710946,88.066074,-0.431183,40,20,1
59.176619,-24.73232,0.321091,58.649217,-0.1708,59.318984,62.349857,88.4365,88.37143,88.411213,88.423309,88.392847,25.412712,88.63201,88.11085,-0.192496,30,10,1
59.998808,-9.76012,0.312345,123.887027,0.366,64.005529,58.480022,88.45276,88.40803,88.451135,88.453798,88.417247,23.412912,88.67868,88.13738,0.414848,20,0,0
53.418598,-36.581709,0.287661,50.04082,0.1057,74.122616,65.81571,88.45602,88.4186,88.451875,88.446217,88.4327,21.299164,88.680668,88.156532,0.119697,10,90,1
55.862813,-25.977966,0.27153,57.73519,0.3416,67.773224,68.63379,88.46252,88.45276,88.465475,88.454795,88.446257,19.396792,88.647123,88.258397,0.387513,0,80,1
61.675544,-5.708765,0.272668,167.421419,0.366,70.138613,70.678151,88.55198,88.48936,88.511318,88.500269,88.46442,18.790635,88.718844,88.259876,0.414314,0,100,1
61.889122,-14.107818,0.271099,172.756773,0.2033,79.318873,72.410237,88.58288,88.50969,88.55198,88.538947,88.490443,18.796129,88.775867,88.243513,0.229692,40,100,0
57.592116,-29.492434,0.258995,87.829956,0.1057,74.781905,74.746464,88.58776,88.52026,88.5712,88.552848,88.515653,18.016866,88.79389,88.24663,0.119422,30,90,1
57.865211,-28.199874,0.247214,52.019698,0.2278,61.588305,71.896361,88.63006,88.54304,88.589989,88.565712,88.545203,16.73724,88.80926,88.27682,0.257705,20,80,0
51.961761,-48.723203,0.22478,-31.183055,0.0325,45.615393,60.661868,88.63006,88.54629,88.580964,88.552564,88.57421,16.171106,88.809192,88.283388,0.036739,10,70,0
47.892184,-69.450137,0.196857,-116.944998,0.1382,36.755413,47.98637,88.56824,88.56011,88.553602,88.524062,88.59183,16.662723,88.770052,88.350168,0.156587,0,60,0
40.050439,-70.001118,0.155218,-200.636222,-0.3823,29.173201,37.181336,88.46088,88.52188,88.4838,88.460814,88.576647,19.258044,88.833622,88.210138,-0.431692,100,50,0
33.885611,-85.947978,0.103308,-188.17266,-0.6344,24.546769,30.158461,88.32912,88.45844,88.381022,88.369139,88.534353,22.016048,88.913402,88.003478,-0.7161,100,40,1
37.822581,-74.017425,0.067946,-135.471123,-0.3742,26.198735,26.639569,88.21198,88.42102,88.30456,88.308914,88.471723,24.725111,88.941858,87.900182,-0.423245,100,30,0
36.847973,-77.163601,0.036874,-77.961916,-0.488,25.898983,25.548162,88.11438,88.37222,88.228993,88.253729,88.385777,24.869629,88.945584,87.798856,-0.551454,90,20,0
33.272019,-88.973863,0.002377,-82.658004,-0.8215,26.20777,26.101829,88.0119,88.29007,88.140116,88.186397,88.28275,25.740005,88.884258,87.695882,-0.926104,80,10,0
21.027937,-86.695618,-0.077231,-176.984391,-1.4884,21.890467,24.66574,87.82158,88.14123,87.946395,88.011525,88.158307,29.418384,88.945586,87.336874,-1.67777,100,0,1
28.271167,-73.180955,-0.125743,-168.758705,-1.2281,23.491006,23.863081,87.70772,88.01842,87.809316,87.898029,88.03278,32.895588,88.869354,87.167486,-1.385876,100,0,0
27.163534,-75.830323,-0.167511,-100.705227,-1.3014,28.114028,24.498501,87.56458,87.88828,87.682731,87.793333,87.905357,33.662788,88.727169,87.049391,-1.468458,90,0,0
24.379115,-85.074627,-0.211952,-97.161752,-1.342,28.206527,26.603854,87.39378,87.75408,87.548753,87.676618,87.76899,34.67072,88.592188,86.915972,-1.516497,80,0,1
63.914597,-9.016393,-0.113289,156.530109,0.3986,46.75742,34.359325,87.57598,87.79394,87.737902,87.879851,87.679257,33.735891,88.775905,86.811975,0.450926,70,100,0
63.186305,-10.588235,-0.037298,127.952436,0.5856,66.381951,47.115299,87.88342,87.8525,87.913876,88.040205,87.657843,32.894545,88.978017,86.726983,0.664125,60,90,1
63.417885,-9.802314,0.023964,97.586955,0.8215,89.858212,67.665861,88.16158,87.93465,88.082167,88.174368,87.71451,31.496385,89.190896,86.678404,0.933983,50,80,1
66.134881,-3.435007,0.086613,97.077591,0.9273,91.603215,82.614459,88.49018,88.02738,88.26954,88.318156,87.84492,30.909598,89.428918,86.625842,1.053296,40,100,1
70.197906,-0.679787,0.159368,94.442025,1.2689,94.468665,91.976697,88.91476,88.15427,88.496253,88.492,88.06995,31.092083,89.742236,86.566304,1.441843,30,100,0
66.911077,-11.501296,0.205468,83.7459,1.277,88.075578,91.382486,88.98796,88.28197,88.679185,88.613527,88.335647,31.687638,89.964818,86.599122,1.453062,20,100,0
66.173578,-12.459738,0.237298,65.591453,1.9114,78.502705,87.015649,89.0628,88.47311,88.834464,88.708522,88.58345,31.661364,90.063824,86.882396,2.191354,10,90,1
67.499774,-10.035736,0.266017,71.718691,1.83,68.181289,78.253191,89.15064,88.65611,88.969771,88.801027,88.794653,31.936403,90.121153,87.191067,2.094126,0,80,0
67.499774,-10.035736,0.285486,72.604261,1.8951,64.371431,70.351808,89.20106,88.84562,89.071805,88.876713,88.9679,32.183939,90.035974,87.655266,2.170238,10,70,0
63.213225,-35.840164,0.2884,27.629423,1.952,50.908036,61.153585,89.16688,89.04082,89.118675,88.917929,89.080683,31.00393,89.418917,88.662723,2.23978,0,60,1
67.620226,-13.329918,0.304923,67.344391,0.5287,57.812463,57.69731,89.19942,89.09369,89.169998,88.991597,89.128127,30.472402,89.467,88.72038,0.59542,20,50,0
57.428939,-43.340164,0.291028,19.586989,0.2684,42.861473,50.527324,89.17826,89.12053,89.158455,88.998615,89.159843,29.878604,89.427174,88.813886,0.302382,10,40,1
59.857139,-44.314054,0.285265,-63.31016,0.3579,47.287468,49.320468,89.162,89.15632,89.161267,89.023594,89.176377,28.857278,89.361501,88.951139,0.40314,0,30,1
64.371071,-18.5634,0.29437,90.646396,0.3823,48.168291,46.105744,89.18804,89.19455,89.196027,89.082486,89.18261,28.933018,89.384977,89.004123,0.429719,0,20,0
61.987232,-35,0.292956,79.387744,0.0081,68.597777,54.684512,89.22384,89.19536,89.212,89.118834,89.186407,29.038084,89.3872,89.00352,0.009073,0,10,0
61.67149,-26.909435,0.287864,69.17999,0.1139,79.498699,65.421589,89.21408,89.20675,89.226353,89.147101,89.194273,29.132643,89.402422,89.011078,0.127747,70,0,0
59.309376,-40.387799,0.276047,-0.331891,0.0813,70.452903,72.849793,89.2515,89.21488,89.228271,89.159864,89.202953,28.350217,89.404789,89.024971,0.091209,60,50,0
58.596267,-44.242138,0.262342,-12.075308,-0.0163,57.949332,69.300312,89.2645,89.21325,89.225747,89.167343,89.217327,27.646033,89.403328,89.023172,-0.01827,50,40,1
59.142108,-40.387799,0.249916,-11.769904,0,48.171545,58.857927,89.23846,89.21325,89.226484,89.176426,89.23007,26.744685,89.403328,89.023172,0,40,30,0
55.115311,-59.612201,0.230846,-54.212256,0.0326,31.535861,45.885579,89.20918,89.21651,89.212438,89.169076,89.233593,25.998874,89.399942,89.033078,0.036587,30,20,0
47.556888,-81.248799,0.19965,-188.663605,-0.3579,26.444869,35.384092,89.14736,89.18072,89.166745,89.132008,89.220847,23.931713,89.402624,88.958816,-0.40068,100,10,1
55.335023,-40.979641,0.188505,-74.709612,0.1302,36.859135,31.613288,89.13598,89.19374,89.163051,89.13717,89.20783,21.55798,89.392904,88.994576,0.146243,90,0,1
58.735147,-21.306188,0.18541,64.307667,0.122,59.524168,40.942724,89.14738,89.20594,89.174735,89.159139,89.190477,20.723223,89.404407,89.007473,0.13687,80,20,1
